grb_row_index,field_name
1,PRESSURE_REDUCED_TO_MSL_PASCAL
4,VISIBILITY_AT_SURFACE_METERS
5,VISIBILITY_AT_CLOUD_TOP_METERS
8,U_COMPONENT_OF_WIND_AT_PLANETARY_BOUNDARY_LAYER_METERS_PER_SEC
9,V_COMPONENT_OF_WIND_AT_PLANETARY_BOUNDARY_LAYER_METERS_PER_SEC
11,WIND_GUST_SPEED_AT_SURFACE_METERS_PER_SEC
337,PRESSURE_AT_SURFACE_PASCAL
339,TEMPERATURE_AT_SURFACE_KELVIN
340,SOIL_TEMPERATURE_0_TO_0.1_M_BELOW_SURFACE_KELVIN
341,VOLUMETRIC_SOIL_MOISTURE_CONTENT_0_TO_0.1_M_BELOW_SURFACE_FRACTION
357,SNOW_COVER_AT_SURFACE_PERCENT
358,SNOW_DEPTH_AT_SURFACE_METERS
361,TEMPERATURE_2_METERS_ABOVE_SURFACE_KELVIN
363,DEWPOINT_TEMPERATURE_2_METERS_ABOVE_SURFACE_KELVIN
364,RELATIVE_HUMIDITY_2_METERS_ABOVE_SURFACE_PERCENT
365,U_COMPONENT_OF_WIND_2_METERS_ABOVE_SURFACE_METERS_PER_SEC
365,V_COMPONENT_OF_WIND_2_METERS_ABOVE_SURFACE_METERS_PER_SEC
367,TOTAL_PRECIPITATION_SURFACE_ACCUM_KG_PER_SQ_METER
368,CONVECTIVE_PRECIPITATION_SURFACE_ACCUM_KG_PER_SQ_METER
370,GEOPOTENTIAL_HEIGHT_LOWEST_LEVEL_WET_BULB_ZERO_GPM
371,CATEGORICAL_SNOW_SURFACE_BINARY
372,CATEGORICAL_ICE_PELLETS_SURFACE_BINARY
373,CATEGORICAL_FREEZING_RAIN_SURFACE_BINARY
374,CATEGORICAL_RAIN_SURFACE_BINARY
378,VEGETATION_SURFACE_PERCENT
379,VEGETATION_TYPE_SIB_INT
380,SOIL_TYPE_ZOBLER_INT
392,PRESSURE_TROPOPAUSE_PASCAL
393,TEMPERATURE_TROPOPAUSE_KELVIN
394,U_COMPONENT_OF_WIND_TROPOPAUSE_METERS_PER_SEC
395,U_COMPONENT_OF_WIND_TROPOPAUSE_METERS_PER_SEC
